"cognosco cognoscere cognovi cognitus"	"cognōscō cognōscere cognōvī cognitus"	"to learn, understand, inquire"	"to come to know, learn, recognize; in perfect, know; conduct an inquiry or trial"	"1.6"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#cognosco"	"139"
"quidam quaedam quiddam"	"quīdam quaedam quiddam"	"a certain person/thing"	"a certain person, a certain thing"	"1.1"	"1"	"Pronoun"	"Logeion"	"http://logeion.uchicago.edu/index.html#quidam"	"140"
"vox vocis f."	"vōx vōcis f."	"voice"	"voice; word"	"1.2"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#vox"	"141"
"novus –a –um"	"novus –a –um"	"new"	"new, fresh, young; unusual, extraordinary (> novae res, f. pl. = revolution)"	"1.1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#novus"	"141"
"medius –a –um"	"medius –a –um"	"middle, in the middle, in half"	"middle (of); as subst., midst; common, neutral, ordinary, moderate; ambiguous;  in the middle, in half"	"1.10"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#medius"	"143"
"longus –a –um"	"longus –a –um"	"long, far"	"long; far; long–standing; far–reaching"	"1.3"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#longus"	"144"
"quaero quaerere quaesii/quaesivi quaesitus"	"quaerō quaerere quaesiī/quaesīvī quaesītus"	"to seek"	"to search for, seek, ask"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#quaero"	"145"
"talis tale"	"tālis tāle"	"such"	"such, of such a sort"	"1.2"	"1"	"Pronoun"	"Logeion"	"http://logeion.uchicago.edu/index.html#talis"	"146"
"puer pueri m."	"puer puerī m."	"boy, slave"	"boy, slave"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#puer"	"147"
"finis finis m."	"fīnis fīnis m."	"end, boundary"	"boundary, end, limit, goal; (pl.) country, territory, land"	"1.6"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#finis"	"148"
"pono ponere posui positus"	"pōnō pōnere posuī positus"	"to place"	"to put, place; set aside"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#pono"	"149"
"imperium imperii n."	"imperium imperiī n."	"command, power"	"power, authority, command; empire"	"1.5"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#imperium"	"149"
"nisi or ni"	"nisi or nī"	"if...not; unless"	"if…not, unless"	"1.1"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#nisi"	"149"
"legio legionis f."	"legiō legiōnis f."	"legion"	"legion"	"2.10"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#legio"	"152"
